Rooted product,Category,Reference page / brand link,Image search link
Mossvale 3-Seater Sofa,Living Room,https://www.article.com,https://www.google.com/search?tbm=isch&q=Article+Timber+sofa
Fernwick 2-Seater Loveseat,Living Room,https://www.article.com,https://www.google.com/search?tbm=isch&q=Article+loveseat
Sedgefield Sectional,Living Room,https://www.article.com,https://www.google.com/search?tbm=isch&q=Article+sectional+sofa
Canopy Lounge Chair,Living Room,https://www.article.com,https://www.google.com/search?tbm=isch&q=Article+lounge+chair+walnut
Driftwood Rocking Chair,Living Room,https://www.google.com/search?tbm=isch&q=solid+wood+rocking+chair+walnut,https://www.google.com/search?tbm=isch&q=solid+wood+rocking+chair+walnut
Heathland Accent Chair,Living Room,https://www.article.com,https://www.google.com/search?tbm=isch&q=Article+accent+chair+wood
Millpond Coffee Table (Live Edge),Living Room,https://www.wayfair.com,https://www.google.com/search?tbm=isch&q=Wayfair+solid+wood+coffee+table+walnut
Stonebrook Nesting Tables (Set),Living Room,https://www.google.com/search?tbm=isch&q=wood+nesting+tables+walnut,https://www.google.com/search?tbm=isch&q=wood+nesting+tables+walnut
Copse Round Coffee Table,Living Room,https://www.google.com/search?tbm=isch&q=round+walnut+coffee+table,https://www.google.com/search?tbm=isch&q=round+walnut+coffee+table
Ridgeline Bookcase,Storage,https://www.westelm.com,https://www.google.com/search?tbm=isch&q=West+Elm+bookcase+wood
Ferndale Media Console,Storage,https://www.westelm.com,https://www.google.com/search?tbm=isch&q=West+Elm+media+console+wood
Marshland Pouf,Living Room,https://www.google.com/search?tbm=isch&q=organic+fabric+pouf+ottoman,https://www.google.com/search?tbm=isch&q=organic+fabric+pouf+ottoman
Clearwater Platform Bed,Bedroom,https://www.article.com/product/31321/lenia-queen-panel-bed-walnut,https://www.google.com/search?tbm=isch&q=Article+Lenia+walnut+bed
Ashgrove Canopy Bed,Bedroom,https://www.google.com/search?tbm=isch&q=solid+wood+canopy+bed+walnut,https://www.google.com/search?tbm=isch&q=solid+wood+canopy+bed+walnut
Meadow Bunk Bed,Kids,https://www.westelm.com/shop/kids-furniture/all-kids-bedroom-furniture/,https://www.google.com/search?tbm=isch&q=West+Elm+kids+bunk+bed
Millstream 6-Drawer Dresser,Bedroom,https://www.article.com/browse/16/bedroom-dressers,https://www.google.com/search?tbm=isch&q=Article+6+drawer+dresser+oak
Copperleaf Bamboo Dresser,Bedroom,https://www.google.com/search?tbm=isch&q=bamboo+dresser+modern,https://www.google.com/search?tbm=isch&q=bamboo+dresser+modern
Heronwood Floating Nightstand,Bedroom,https://www.google.com/search?tbm=isch&q=floating+nightstand+walnut,https://www.google.com/search?tbm=isch&q=floating+nightstand+walnut
Thornfield Double Wardrobe,Bedroom,https://www.google.com/search?tbm=isch&q=solid+wood+wardrobe+modern,https://www.google.com/search?tbm=isch&q=solid+wood+wardrobe+modern
Willowmere Vanity Table,Bedroom,https://www.google.com/search?tbm=isch&q=wood+vanity+table+modern,https://www.google.com/search?tbm=isch&q=wood+vanity+table+modern
Nestling Convertible Crib,Nursery,https://www.wayfair.com/baby-kids/sb1/solid-wood-nursery-furniture-sets-c421024-a144555~464269.html,https://www.google.com/search?tbm=isch&q=solid+wood+convertible+crib
Sedge End-of-Bed Bench,Bedroom,https://www.google.com/search?tbm=isch&q=wood+end+of+bed+bench+upholstered,https://www.google.com/search?tbm=isch&q=wood+end+of+bed+bench+upholstered
Watershed Writing Desk,Home Office,https://www.google.com/search?tbm=isch&q=solid+wood+writing+desk+modern,https://www.google.com/search?tbm=isch&q=solid+wood+writing+desk+modern
Pinewood Standing Desk,Home Office,https://www.westelm.com,https://www.google.com/search?tbm=isch&q=wood+standing+desk+adjustable
Copse Corner Desk,Home Office,https://www.google.com/search?tbm=isch&q=l+shape+wood+desk+modern,https://www.google.com/search?tbm=isch&q=l+shape+wood+desk+modern
Groverest Task Chair,Home Office,https://www.google.com/search?tbm=isch&q=wood+task+chair+ergonomic,https://www.google.com/search?tbm=isch&q=wood+task+chair+ergonomic
Burrow Ladder Shelf,Home Office,https://www.google.com/search?tbm=isch&q=wood+ladder+shelf+5+tier,https://www.google.com/search?tbm=isch&q=wood+ladder+shelf+5+tier
Fieldwork Filing Cabinet,Home Office,https://www.google.com/search?tbm=isch&q=wood+filing+cabinet+2+drawer,https://www.google.com/search?tbm=isch&q=wood+filing+cabinet+2+drawer
Tideline Credenza,Home Office,https://www.westelm.com,https://www.google.com/search?tbm=isch&q=West+Elm+credenza+wood
Harvest Farmhouse Table,Dining,https://www.google.com/search?tbm=isch&q=solid+wood+farmhouse+dining+table,https://www.google.com/search?tbm=isch&q=solid+wood+farmhouse+dining+table
Fern Round Dining Table,Dining,https://www.article.com/product/14,https://www.google.com/search?tbm=isch&q=Article+round+dining+table+walnut
Meadowlark Extendable Table,Dining,https://www.article.com,https://www.google.com/search?tbm=isch&q=Article+extendable+dining+table+walnut
Spindle Dining Chair,Dining,https://www.google.com/search?tbm=isch&q=spindle+dining+chair+wood,https://www.google.com/search?tbm=isch&q=spindle+dining+chair+wood
Cane Dining Chair,Dining,https://www.google.com/search?tbm=isch&q=cane+dining+chair+wood,https://www.google.com/search?tbm=isch&q=cane+dining+chair+wood
Upland Upholstered Dining Chair,Dining,https://www.google.com/search?tbm=isch&q=upholstered+dining+chair+wood,https://www.google.com/search?tbm=isch&q=upholstered+dining+chair+wood
Millfield Dining Bench,Dining,https://www.google.com/search?tbm=isch&q=wood+dining+bench+modern,https://www.google.com/search?tbm=isch&q=wood+dining+bench+modern
Timberline Sideboard,Dining,https://www.westelm.com,https://www.google.com/search?tbm=isch&q=West+Elm+sideboard+wood
Vineyard Bar Cart,Dining,https://www.google.com/search?tbm=isch&q=wood+bar+cart+modern,https://www.google.com/search?tbm=isch&q=wood+bar+cart+modern
Shoreline Outdoor Sofa,Outdoor,https://www.westelm.com/products/baycrest-outdoor-sofa-lounge-chair-w-coffee-table-f258/,https://www.google.com/search?tbm=isch&q=West+Elm+teak+outdoor+sofa
Tidemark Lounge Chair,Outdoor,https://www.westelm.com/products/baycrest-outdoor-sofa-lounge-chair-w-coffee-table-f258/,https://www.google.com/search?tbm=isch&q=West+Elm+teak+outdoor+lounge+chair
River Adirondack Chair,Outdoor,https://www.google.com/search?tbm=isch&q=wood+adirondack+chair,https://www.google.com/search?tbm=isch&q=wood+adirondack+chair
Watershed Outdoor Dining Table,Outdoor,https://www.westelm.com/shop/outdoor/teak+outdoor-dining-tables/furniturematerial-m-furniture-material-ff000d1822fe20-1/,https://www.google.com/search?tbm=isch&q=West+Elm+teak+outdoor+dining+table
Canopy Round Outdoor Table,Outdoor,https://www.google.com/search?tbm=isch&q=round+teak+outdoor+table,https://www.google.com/search?tbm=isch&q=round+teak+outdoor+table
Creekside Garden Bench,Outdoor,https://www.google.com/search?tbm=isch&q=teak+garden+bench,https://www.google.com/search?tbm=isch&q=teak+garden+bench
Dune Sunlounger,Outdoor,https://www.google.com/search?tbm=isch&q=teak+sun+lounger+outdoor,https://www.google.com/search?tbm=isch&q=teak+sun+lounger+outdoor
Kelp Outdoor Side Table,Outdoor,https://www.google.com/search?tbm=isch&q=outdoor+side+table+teak,https://www.google.com/search?tbm=isch&q=outdoor+side+table+teak
Threshold Entry Bench,Entryway,https://www.google.com/search?tbm=isch&q=entryway+wood+bench+modern,https://www.google.com/search?tbm=isch&q=entryway+wood+bench+modern
Branching Coat Rack,Entryway,https://www.google.com/search?tbm=isch&q=wood+coat+rack+modern,https://www.google.com/search?tbm=isch&q=wood+coat+rack+modern
Foyer Console Table,Entryway,https://www.google.com/search?tbm=isch&q=console+table+wood+modern,https://www.google.com/search?tbm=isch&q=console+table+wood+modern
Millpond Entry Mirror,Entryway,https://www.google.com/search?tbm=isch&q=wood+entryway+mirror+modern,https://www.google.com/search?tbm=isch&q=wood+entryway+mirror+modern
Acorn Toddler Bed,Kids,https://www.google.com/search?tbm=isch&q=solid+wood+toddler+bed,https://www.google.com/search?tbm=isch&q=solid+wood+toddler+bed
Sprout Loft Bed,Kids,https://www.westelm.com/shop/kids-furniture/all-kids-bedroom-furniture/,https://www.google.com/search?tbm=isch&q=West+Elm+kids+loft+bed
Seedling Height-Adj. Kids Desk,Kids,https://www.google.com/search?tbm=isch&q=adjustable+kids+desk+wood,https://www.google.com/search?tbm=isch&q=adjustable+kids+desk+wood
Willow Bamboo Floor Lamp,Accessories,https://www.google.com/search?tbm=isch&q=bamboo+floor+lamp,https://www.google.com/search?tbm=isch&q=bamboo+floor+lamp
Meadow Jute Rug,Accessories,https://www.google.com/search?tbm=isch&q=jute+rug+5x8+natural,https://www.google.com/search?tbm=isch&q=jute+rug+5x8+natural
